order_id,product,category,price,quantity,city,order_date,payment_mode
104904,Phone,Electronics,1500.0,4.0,Kochi,2024-03-18,UPI
101638,Laptop,Computers,,1.0,Bangalore,2024-06-19,Card
100833,Mouse,Electronics,500.0,3.0,Bangalore,2024-02-13,COD
102931,Tablet,Computers,500.0,1.0,Kochi,2024-03-15,Card
102338,Monitor,Electronics,-100.0,4.0,Chennai,2024-04-10,Card
102907,Laptop,Computers,-100.0,3.0,Chennai,2024-04-10,NetBanking
104246,Mouse,Computers,2000.0,1.0,Bangalore,2024-01-07,UPI
102658,Monitor,Electronics,,,Mumbai,2024-02-16,Card
102835,Headphones,Computers,2000.0,3.0,Chennai,2024-02-15,Card
100801,Monitor,Electronics,500.0,,Mumbai,2024-03-30,Card
103121,Monitor,Electronics,800.0,2.0,Bangalore,2024-06-30,COD
100363,Tablet,Electronics,500.0,,Chennai,2024-04-22,NetBanking
101956,Headphones,Computers,,,Bangalore,2024-05-18,Card
101090,Tablet,Computers,500.0,1.0,Chennai,2024-05-04,Card
103109,Keyboard,Computers,500.0,4.0,Mumbai,2024-06-20,NetBanking
104478,Monitor,Computers,2000.0,3.0,Kochi,2024-02-14,Card
102943,Phone,Computers,1200.0,1.0,Chennai,2024-05-23,COD
101837,Headphones,Computers,1500.0,2.0,Mumbai,2024-01-22,NetBanking
102984,Headphones,Electronics,1200.0,,Hyderabad,2024-01-20,COD
100522,Laptop,Accessories,2000.0,2.0,Chennai,2024-02-11,NetBanking
103824,Laptop,Accessories,1500.0,2.0,Chennai,2024-02-12,Card
104854,Keyboard,Accessories,-100.0,3.0,Mumbai,2024-05-10,NetBanking
102450,Keyboard,Accessories,1200.0,3.0,Bangalore,2024-06-27,COD
104894,Headphones,Electronics,1200.0,4.0,Bangalore,2024-04-06,COD
102777,Charger,Computers,-100.0,3.0,Chennai,2024-03-01,COD
100574,Headphones,Computers,1200.0,3.0,Hyderabad,2024-02-26,UPI
103586,Monitor,Electronics,-100.0,,Hyderabad,2024-03-28,NetBanking
104514,Tablet,Accessories,2000.0,4.0,Mumbai,2024-05-01,Card
102118,Laptop,Accessories,500.0,3.0,Bangalore,2024-03-04,NetBanking
102394,Laptop,Computers,-100.0,2.0,Bangalore,2024-03-25,Card
100295,Keyboard,Computers,1500.0,1.0,Chennai,2024-01-02,COD
100643,Tablet,Computers,2000.0,4.0,Hyderabad,2024-01-04,NetBanking
100854,Headphones,Computers,1500.0,,Kochi,2024-04-07,NetBanking
103086,Tablet,Accessories,500.0,2.0,Chennai,2024-01-03,NetBanking
101532,Tablet,Electronics,800.0,3.0,Hyderabad,2024-03-22,NetBanking
104687,Tablet,Accessories,2000.0,4.0,Chennai,2024-01-26,NetBanking
103686,Monitor,Accessories,1200.0,4.0,Hyderabad,2024-03-17,UPI
101089,Charger,Electronics,1200.0,4.0,Mumbai,2024-01-13,COD
102987,Mouse,Computers,500.0,1.0,Kochi,2024-02-10,COD
104364,Charger,Electronics,1200.0,3.0,Chennai,2024-05-17,UPI
103392,Phone,Computers,1200.0,1.0,Bangalore,2024-03-29,UPI
104183,Monitor,Accessories,1500.0,2.0,Mumbai,2024-05-01,UPI
100199,Tablet,Accessories,800.0,1.0,Kochi,2024-05-17,UPI
104210,Keyboard,Computers,800.0,2.0,Hyderabad,2024-03-06,COD
102500,Charger,Accessories,2000.0,3.0,Bangalore,2024-03-24,NetBanking
103057,Tablet,Electronics,2000.0,,Hyderabad,2024-04-28,Card
102442,Charger,Computers,2000.0,1.0,Mumbai,2024-06-11,NetBanking
104721,Keyboard,Electronics,1500.0,1.0,Chennai,2024-04-14,Card
103878,Monitor,Computers,2000.0,2.0,Mumbai,2024-03-11,Card
104507,Laptop,Electronics,-100.0,1.0,Mumbai,2024-05-19,UPI
102977,Monitor,Accessories,800.0,1.0,Kochi,2024-02-20,Card
104510,Mouse,Accessories,1500.0,,Hyderabad,2024-02-05,NetBanking
101523,Mouse,Accessories,800.0,2.0,Mumbai,2024-02-13,NetBanking
104871,Mouse,Accessories,1500.0,1.0,Kochi,2024-02-05,UPI
102013,Charger,Accessories,1500.0,2.0,Chennai,2024-05-13,Card
100815,Keyboard,Electronics,1200.0,2.0,Mumbai,2024-04-06,NetBanking
104429,Headphones,Electronics,2000.0,3.0,Hyderabad,2024-04-13,COD
100534,Phone,Accessories,1500.0,2.0,Mumbai,2024-04-10,NetBanking
100805,Keyboard,Computers,1200.0,4.0,Kochi,2024-03-23,UPI
103050,Mouse,Electronics,1500.0,4.0,Mumbai,2024-05-20,UPI
103633,Keyboard,Accessories,2000.0,3.0,Hyderabad,2024-01-06,UPI
102146,Laptop,Accessories,500.0,2.0,Kochi,2024-02-29,UPI
104826,Headphones,Accessories,2000.0,,Hyderabad,2024-03-20,UPI
100770,Headphones,Electronics,800.0,,Mumbai,2024-06-20,COD
100264,Keyboard,Computers,2000.0,,Bangalore,2024-05-16,NetBanking
100181,Keyboard,Computers,1200.0,,Kochi,2024-03-09,NetBanking
104304,Tablet,Accessories,2000.0,3.0,Kochi,2024-06-13,Card
100202,Keyboard,Electronics,1200.0,,Hyderabad,2024-05-15,NetBanking
100031,Mouse,Computers,-100.0,2.0,Bangalore,2024-06-13,UPI
102293,Laptop,Electronics,,2.0,Mumbai,2024-04-26,UPI
101264,Headphones,Electronics,800.0,2.0,Hyderabad,2024-01-04,UPI
100410,Monitor,Accessories,,1.0,Hyderabad,2024-06-25,Card
104476,Tablet,Accessories,-100.0,,Hyderabad,2024-01-04,UPI
104838,Tablet,Accessories,2000.0,1.0,Chennai,2024-05-15,COD
104307,Monitor,Computers,2000.0,3.0,Mumbai,2024-02-24,NetBanking
102748,Charger,Electronics,1200.0,4.0,Chennai,2024-03-17,NetBanking
101484,Mouse,Accessories,1200.0,4.0,Chennai,2024-04-28,NetBanking
100989,Headphones,Electronics,800.0,4.0,Bangalore,2024-03-27,COD
100790,Tablet,Computers,1200.0,4.0,Bangalore,2024-01-29,UPI
104680,Monitor,Accessories,,2.0,Kochi,2024-02-25,Card
102811,Headphones,Computers,500.0,2.0,Chennai,2024-03-03,COD
102599,Charger,Computers,1500.0,2.0,Chennai,2024-03-16,Card
102587,Charger,Computers,2000.0,2.0,Mumbai,2024-03-23,Card
102745,Phone,Computers,800.0,3.0,Hyderabad,2024-03-12,UPI
104262,Keyboard,Electronics,,,Bangalore,2024-05-05,UPI
100151,Phone,Accessories,500.0,,Chennai,2024-01-09,UPI
100008,Headphones,Accessories,1500.0,,Bangalore,2024-06-22,COD
100920,Keyboard,Accessories,-100.0,1.0,Hyderabad,2024-04-05,UPI
102343,Laptop,Accessories,2000.0,1.0,Chennai,2024-04-23,Card
100218,Mouse,Accessories,-100.0,,Hyderabad,2024-05-05,NetBanking
102380,Mouse,Electronics,-100.0,1.0,Chennai,2024-06-23,NetBanking
104685,Laptop,Computers,800.0,4.0,Mumbai,2024-06-24,NetBanking
